train_register,test_register,features,auc,acc,prec,rec,f1
creative,news,boost_density,0.48391572839999997,0.48857,0.4935285525019533,0.87168,0.6302318687595346
creative,social,boost_density,0.5523397818000001,0.5463,0.5309947784174588,0.7932,0.6361376213008261
creative,creative,boost_density,0.6610664937999999,0.63999,0.5949715743341338,0.877,0.7089675912078318
academic,academic,char_entropy,0.9998460877382236,0.9952864953807655,0.9926722032242306,0.9742298933237444,0.9833645877442381
academic,news,char_entropy,0.5215102712000002,0.50777,0.5440126883425852,0.09604,0.16325836775630237
academic,social,char_entropy,0.46297706539999994,0.48888,0.4577571797599149,0.1205,0.19077926601437573
academic,creative,char_entropy,0.5429191804,0.51519,0.5625463229844355,0.13662,0.21984777046489548
news,academic,char_entropy,0.5303174805225939,0.5506573196441733,0.15250612435354047,0.4700946901594151,0.23029947152084557
news,news,char_entropy,0.9992400779999999,0.98849,0.9875052394163789,0.9895,0.9885016133704958
news,social,char_entropy,0.6122277603999999,0.56836,0.5685574454428755,0.56692,0.5677375420605673
news,creative,char_entropy,0.5507393332,0.52466,0.5228655144277131,0.5639,0.5426080597359609
social,academic,char_entropy,0.4791302493107995,0.5072587971136212,0.1365207168050162,0.4593072036437732,0.21048006151818083
social,news,char_entropy,0.574719473,0.54163,0.5382382658216222,0.58598,0.5610954182027098
social,social,char_entropy,0.9993990965999999,0.9904,0.9906355050424204,0.99016,0.9903976954469073
social,creative,char_entropy,0.5498621944,0.52406,0.5219878637227665,0.57118,0.5454771181908473
creative,academic,char_entropy,0.6045463334531943,0.5519428209039645,0.1776191856252717,0.5876782931799113,0.27279049712076114
creative,news,char_entropy,0.538352923,0.52204,0.5222518374929327,0.51728,0.5197540291788916
creative,social,char_entropy,0.5382533948,0.52039,0.5172012350469891,0.61308,0.5610740466188947
creative,creative,char_entropy,0.9989220077999998,0.98637,0.9880390937004555,0.98466,0.9863466527762473
academic,academic,rep_rate,0.813801034400096,0.8649195276211371,0.7005208333333334,0.09672779575692197,0.16998420221169036
academic,news,rep_rate,0.4426058647999999,0.50153,0.5201051248357424,0.03958,0.07356193662299043
academic,social,rep_rate,0.4365209456,0.5025,0.5581936685288641,0.02398,0.045984505637800106
academic,creative,rep_rate,0.39608897759999995,0.49857,0.481029450782701,0.03626,0.06743662705276274
news,academic,rep_rate,0.5905079515761716,0.6739797405001456,0.17022853613341568,0.3303368093012106,0.22467696571964293
news,news,rep_rate,0.8534224166,0.75015,0.7636654931804288,0.72452,0.7435779016184817
news,social,rep_rate,0.6203689774000001,0.56918,0.563596249310535,0.61308,0.5872976338729763
news,creative,rep_rate,0.5848496354,0.54065,0.5322358091069135,0.67116,0.5936789590538784
social,academic,rep_rate,0.46768685364976625,0.42375263527758256,0.13969267611255237,0.5873187102960565,0.22570244127130354
social,news,rep_rate,0.5474981275999999,0.5334,0.5282132720637924,0.62532,0.5726793171660928
social,social,rep_rate,0.7746676136,0.71447,0.7967292952212292,0.57586,0.6685241296044765
social,creative,rep_rate,0.5841955578,0.55287,0.554775077184476,0.53548,0.5449567987299132
creative,academic,rep_rate,0.487077981541412,0.5781499065869085,0.12755826198434136,0.3339326381397579,0.18460111317254174
creative,news,rep_rate,0.6066160566,0.5731,0.5853055127666527,0.50156,0.5402063632251255
creative,social,rep_rate,0.5916030202,0.5413,0.5354226705091258,0.62426,0.5764386496269484
creative,creative,rep_rate,0.794108282,0.71064,0.7342422490102753,0.66026,0.6952886417724985
academic,academic,punct_entropy,0.9361595337408605,0.9024904444406355,0.7740603056588187,0.44923888289584085,0.5685248388320061
academic,news,punct_entropy,0.4552198024,0.4963,0.48786248523815773,0.14872,0.22795131970203245
academic,social,punct_entropy,0.5085676138,0.52185,0.6154252509244585,0.1165,0.19591356259984866
academic,creative,punct_entropy,0.6141876467999999,0.53315,0.6010732361729374,0.19714,0.29690206177803885
news,academic,punct_entropy,0.4671324068081026,0.5302606996554856,0.12634756360500216,0.38631187822126334,0.19041710977194848
news,news,punct_entropy,0.9544523523999999,0.88219,0.8805536194364234,0.88434,0.8824427480916031
